system:index,area_ha,classe,mes,.geo
1_1_1_1_0,58614.75149792497,1.0,2023-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1,28.210431059307023,2.0,2023-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2,0.0,3.0,2023-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_3,0.0,4.0,2023-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0,0.2334782958984375,1.0,2023-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_1,18371.918784552483,2.0,2023-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_2,483.9348875271188,3.0,2023-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_3,0.0,4.0,2023-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,0.0,1.0,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,30337.88893662532,2.0,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,9534.05587980914,3.0,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,0.0,4.0,2024-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,0.0,1.0,2024-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,5804.505281987831,2.0,2024-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,51493.580001480266,3.0,2024-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,0.15559843139648438,4.0,2024-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.0,1.0,2024-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,766.0329264783672,2.0,2024-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,43068.48629445075,3.0,2024-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,9138.400870799896,4.0,2024-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
